Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Italy,2020-03-16T22:33:03,27980,2158,2749,,
,Honduras,2020-03-16T22:33:03,6,0,0,,
,Ethiopia,2020-03-16T22:33:03,5,0,0,,
,Afghanistan,2020-03-16T22:33:03,21,0,1,,
,Singapore,2020-03-16T22:33:03,243,0,109,,
,French Guiana,2020-03-16T22:33:03,11,0,0,,
,Czechia,2020-03-16T22:33:03,298,0,0,,
,Egypt,2020-03-16T22:33:03,150,2,27,,
,Bolivia,2020-03-16T22:33:03,11,0,0,,
,Russia,2020-03-16T22:33:03,90,0,8,,
,Malta,2020-03-16T22:33:03,30,0,2,,
,Saudi Arabia,2020-03-16T22:33:03,118,0,2,,
,Netherlands,2020-03-16T22:33:03,1414,24,2,,
,Pakistan,2020-03-16T22:33:03,136,0,2,,
,Kosovo,2020-03-16T22:33:03,2,0,0,,
,China,2020-03-16T22:33:03,81032,3217,67910,,
,Qatar,2020-03-16T22:33:03,439,0,4,,
,Ireland,2020-03-16T22:33:03,169,2,0,,
,Martinique,2020-03-16T22:33:03,15,1,0,,
,Slovakia,2020-03-16T22:33:03,63,0,0,,
,France,2020-03-16T22:33:03,6650,148,12,,
,Serbia,2020-03-16T22:33:03,55,0,1,,
,Lithuania,2020-03-16T22:33:03,17,0,1,,
,Bosnia and Herzegovina,2020-03-16T22:33:03,24,0,0,,
,Reunion,2020-03-16T22:33:03,9,0,0,,
,Bhutan,2020-03-16T22:33:03,1,0,0,,
,Romania,2020-03-16T22:33:03,158,0,9,,
,Togo,2020-03-16T22:33:03,1,0,0,,
,Philippines,2020-03-16T22:33:03,142,12,2,,
,Rwanda,2020-03-16T22:33:03,5,0,0,,
,Cote d'Ivoire,2020-03-16T22:33:03,1,0,0,,
,Uzbekistan,2020-03-16T22:33:03,6,0,0,,
,Congo (Kinshasa),2020-03-16T22:33:03,2,0,0,,
,Bangladesh,2020-03-16T22:33:03,8,0,2,,
,Norway,2020-03-16T22:33:03,1312,3,1,,
,Saint Vincent and the Grenadines,2020-03-16T22:33:03,1,0,0,,
,Denmark,2020-03-16T22:33:03,932,3,1,,
,Dominican Republic,2020-03-16T22:33:03,11,0,0,,
,Mexico,2020-03-16T22:33:03,53,0,4,,
,Suriname,2020-03-16T22:33:03,1,0,0,,
,Greenland,2020-03-16T22:33:03,1,0,0,,
,Indonesia,2020-03-16T22:33:03,134,5,8,,
