Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Netherlands,2020-03-14T14:53:02,804,10,0,,
,Pakistan,2020-03-14T14:53:02,28,0,2,,
,China,2020-03-14T14:53:02,80976,3193,65655,,
,Qatar,2020-03-14T14:53:02,337,0,0,,
,Ireland,2020-03-14T14:53:02,90,1,0,,
,Martinique,2020-03-14T14:53:02,3,0,0,,
,Slovakia,2020-03-14T14:53:02,32,0,0,,
,France,2020-03-14T14:53:02,3667,79,12,,
,Serbia,2020-03-14T14:53:02,41,0,0,,
,Lithuania,2020-03-14T14:53:02,6,0,0,,
,Bosnia and Herzegovina,2020-03-14T14:53:02,18,0,0,,
,Reunion,2020-03-14T14:53:02,5,0,0,,
,Bhutan,2020-03-14T14:53:02,1,0,0,,
,Romania,2020-03-14T14:53:02,97,0,6,,
,Togo,2020-03-14T14:53:02,1,0,0,,
,Philippines,2020-03-14T14:53:02,98,8,2,,
,Rwanda,2020-03-14T14:53:02,1,0,0,,
,Cote d'Ivoire,2020-03-14T14:53:02,1,0,0,,
,Congo (Kinshasa),2020-03-14T14:53:02,2,0,0,,
,Bangladesh,2020-03-14T14:53:02,3,0,0,,
,Norway,2020-03-14T14:53:02,996,1,1,,
,Denmark,2020-03-14T14:53:02,836,0,1,,
,Dominican Republic,2020-03-14T14:53:02,5,0,0,,
,Mexico,2020-03-14T14:53:02,15,0,4,,
,Indonesia,2020-03-14T14:53:02,96,5,2,,
