Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Cambodia,2020-03-14T14:53:02,7,0,1,,
,Sudan,2020-03-14T14:53:02,1,1,0,,
,Kazakhstan,2020-03-14T14:53:02,6,0,0,,
,Paraguay,2020-03-14T14:53:02,6,0,0,,
,Portugal,2020-03-14T14:53:02,112,0,1,,
,Greece,2020-03-14T14:53:02,190,3,0,,
,Cayman Islands,2020-03-14T14:53:02,1,0,0,,
,Latvia,2020-03-14T14:53:02,26,0,1,,
,Mongolia,2020-03-14T14:53:02,1,0,0,,
,Iran,2020-03-14T14:53:02,12729,611,2959,,
,Morocco,2020-03-14T14:53:02,7,1,1,,
,Panama,2020-03-14T14:53:02,36,1,0,,
,Guadeloupe,2020-03-14T14:53:02,1,0,0,,
,Guatemala,2020-03-14T14:53:02,1,0,0,,
,Guyana,2020-03-14T14:53:02,1,1,0,,
,Iraq,2020-03-14T14:53:02,101,9,24,,
,Chile,2020-03-14T14:53:02,43,0,0,,
,Nepal,2020-03-14T14:53:02,1,0,1,,
,Argentina,2020-03-14T14:53:02,31,2,1,,
,Ukraine,2020-03-14T14:53:02,3,1,0,,
,Ghana,2020-03-14T14:53:02,2,0,0,,
,Holy See,2020-03-14T14:53:02,1,0,0,,
,Bahrain,2020-03-14T14:53:02,210,0,44,,
,India,2020-03-14T14:53:02,87,2,4,,
,Canada,2020-03-14T14:53:02,193,1,8,,
,Maldives,2020-03-14T14:53:02,9,0,0,,
,Turkey,2020-03-14T14:53:02,5,0,0,,
,Belgium,2020-03-14T14:53:02,689,4,1,,
,Saint Barthelemy,2020-03-14T14:53:02,1,0,0,,
,Namibia,2020-03-14T14:53:02,2,0,0,,
,Finland,2020-03-14T14:53:02,210,0,1,,
,Faroe Islands,2020-03-14T14:53:02,2,0,0,,
,North Macedonia,2020-03-14T14:53:02,14,0,1,,
,South Africa,2020-03-14T14:53:02,24,0,0,,
,Trinidad and Tobago,2020-03-14T14:53:02,1,0,0,,
,Georgia,2020-03-14T14:53:02,30,0,0,,
,Jamaica,2020-03-14T14:53:02,8,0,0,,
,Peru,2020-03-14T14:53:02,38,0,0,,
,Germany,2020-03-14T14:53:02,3758,8,46,,
,Puerto Rico,2020-03-14T14:53:02,2,0,0,,
,Guinea,2020-03-14T14:53:02,1,0,0,,
,Cruise Ship,2020-03-14T14:53:02,696,7,325,,
,Aruba,2020-03-14T14:53:02,2,0,0,,
,Thailand,2020-03-14T14:53:02,82,1,35,,
,Costa Rica,2020-03-14T14:53:02,26,0,0,,
,Sweden,2020-03-14T14:53:02,867,2,1,,
,Vietnam,2020-03-14T14:53:02,53,0,16,,
,Taiwan*,2020-03-14T14:53:02,53,1,20,,
,Saint Martin,2020-03-14T14:53:02,2,0,0,,
,Andorra,2020-03-14T14:53:02,1,0,1,,
,Liechtenstein,2020-03-14T14:53:02,1,0,0,,
,Poland,2020-03-14T14:53:02,84,2,0,,
,Kuwait,2020-03-14T14:53:02,100,0,5,,
,Bulgaria,2020-03-14T14:53:02,31,1,0,,
,Nigeria,2020-03-14T14:53:02,2,0,0,,
,Jordan,2020-03-14T14:53:02,1,0,1,,
,Tunisia,2020-03-14T14:53:02,16,0,0,,
,Croatia,2020-03-14T14:53:02,37,0,1,,
,Sri Lanka,2020-03-14T14:53:02,6,0,1,,
,Uruguay,2020-03-14T14:53:02,4,0,0,,
,United Kingdom,2020-03-14T14:53:02,801,10,19,,
,United Arab Emirates,2020-03-14T14:53:02,85,0,17,,
,Kenya,2020-03-14T14:53:02,1,0,0,,
,Switzerland,2020-03-14T14:53:02,1359,13,4,,
,Spain,2020-03-14T14:53:02,5232,133,193,,
,French Polynesia,2020-03-14T14:53:02,1,0,0,,
,Lebanon,2020-03-14T14:53:02,93,3,1,,
,Brunei,2020-03-14T14:53:02,37,0,0,,
,Azerbaijan,2020-03-14T14:53:02,15,1,3,,
,Cuba,2020-03-14T14:53:02,4,0,0,,
,Venezuela,2020-03-14T14:53:02,2,0,0,,
,Burkina Faso,2020-03-14T14:53:02,2,0,0,,
,Saint Lucia,2020-03-14T14:53:02,1,0,0,,
,Mauritania,2020-03-14T14:53:02,1,0,0,,
,Guernsey,2020-03-14T14:53:02,1,0,0,,
,Israel,2020-03-14T14:53:02,164,0,4,,
,San Marino,2020-03-14T14:53:02,80,5,2,,
,Australia,2020-03-14T14:53:02,200,3,23,,
,Estonia,2020-03-14T14:53:02,109,0,0,,
,Korea  South,2020-03-14T14:53:02,8086,72,510,,
,Cameroon,2020-03-14T14:53:02,2,0,0,,
,Gibraltar,2020-03-14T14:53:02,1,0,0,,
,Cyprus,2020-03-14T14:53:02,21,0,0,,
,Malaysia,2020-03-14T14:53:02,197,0,26,,
,Iceland,2020-03-14T14:53:02,134,0,1,,
,Oman,2020-03-14T14:53:02,19,0,9,,
,Armenia,2020-03-14T14:53:02,15,0,0,,
,Gabon,2020-03-14T14:53:02,1,0,0,,
,Austria,2020-03-14T14:53:02,602,1,6,,
,Monaco,2020-03-14T14:53:02,2,0,0,,
,Luxembourg,2020-03-14T14:53:02,38,1,0,,
,Brazil,2020-03-14T14:53:02,151,0,0,,
,Algeria,2020-03-14T14:53:02,37,3,12,,
,Slovenia,2020-03-14T14:53:02,141,0,0,,
,US,2020-03-14T14:53:02,2174,47,12,,
,Antigua and Barbuda,2020-03-14T14:53:02,1,0,0,,
,Ecuador,2020-03-14T14:53:02,17,1,0,,
,Colombia,2020-03-14T14:53:02,16,0,0,,
,Hungary,2020-03-14T14:53:02,25,0,1,,
,Japan,2020-03-14T14:53:02,725,21,118,,
,Moldova,2020-03-14T14:53:02,6,0,0,,
,Belarus,2020-03-14T14:53:02,27,0,3,,
,Curacao,2020-03-14T14:53:02,1,0,0,,
,Albania,2020-03-14T14:53:02,38,1,0,,
,New Zealand,2020-03-14T14:53:02,5,0,0,,
,Senegal,2020-03-14T14:53:02,10,0,1,,
,Italy,2020-03-14T14:53:02,17660,1266,1439,,
,Honduras,2020-03-14T14:53:02,2,0,0,,
,Fench Guiana,2020-03-14T14:53:02,5,0,0,,
,Ethiopia,2020-03-14T14:53:02,1,0,0,,
,Afghanistan,2020-03-14T14:53:02,10,0,0,,
,Singapore,2020-03-14T14:53:02,200,0,97,,
,French Guiana,2020-03-14T14:53:02,5,0,0,,
,Czechia,2020-03-14T14:53:02,150,0,0,,
,Egypt,2020-03-14T14:53:02,93,2,27,,
,Bolivia,2020-03-14T14:53:02,10,0,0,,
,Russia,2020-03-14T14:53:02,47,0,3,,
,Malta,2020-03-14T14:53:02,18,0,1,,
,Saudi Arabia,2020-03-14T14:53:02,86,0,1,,
